vehicle_id,manufacturer,range,model,derivative,transmission,trim,sector,bodystyle,fueltype,fueldelivery,engine_litres,drivetrain
86387,MERCEDES-BENZ,C CLASS,C CLASS CABRIOLET,C180 AMG Line 2dr,MANUAL,AMG LINE,PRESTIGE CONVERTIBLE MEDIUM,CABRIOLET,PETROL,TURBO,1.6,REAR WHEEL DRIVE
71749,VOLKSWAGEN,CARAVELLE,CARAVELLE DIESEL ESTATE,2.0 TDI BlueMotion Tech 150 Executive 5dr DSG,AUTOMATIC,EXECUTIVE,MPV LARGE,ESTATE,DIESEL,TURBO,2.0,FRONT WHEEL DRIVE
84096,LAND ROVER,RANGE ROVER VELAR,RANGE ROVER VELAR DIESEL ESTATE,3.0 D275 R-Dynamic S 5dr Auto,AUTOMATIC,R-DYNAMIC S,4X4 LARGE,ESTATE,DIESEL,TURBO,3.0,FOUR WHEEL DRIVE
90921,BMW,3 SERIES,3 SERIES DIESEL SALOON,320d xDrive M Sport 4dr Step Auto [Tech/Plus Pack],AUTOMATIC,M SPORT,PRESTIGE MEDIUM,SALOON,DIESEL,TURBO,2.0,FOUR WHEEL DRIVE
73864,MERCEDES-BENZ,E CLASS,E CLASS DIESEL SALOON,E220d SE Premium 4dr 9G-Tronic,AUTOMATIC,SE,PRESTIGE LARGE,SALOON,DIESEL,TURBO,2.0,REAR WHEEL DRIVE
88619,JAGUAR,XE,XE DIESEL SALOON,2.0d HSE 4dr Auto AWD,AUTOMATIC,HSE,PRESTIGE MEDIUM,SALOON,DIESEL,TURBO,2.0,FOUR WHEEL DRIVE
69271,VOLVO,V40,V40 DIESEL HATCHBACK,D3 [4 Cyl 150] R DESIGN 5dr Geartronic,AUTOMATIC,R DESIGN,PRESTIGE MEDIUM,HATCHBACK,DIESEL,TURBO,2.0,FRONT WHEEL DRIVE
85553,PEUGEOT,RIFTER,RIFTER ESTATE,1.2 PureTech Active [7 Seats] 5dr,MANUAL,ACTIVE,ESTATE MEDIUM,ESTATE,PETROL,TURBO,1.2,FRONT WHEEL DRIVE
86511,NISSAN,QASHQAI,QASHQAI HATCHBACK,1.3 DiG-T 160 N-Connecta 5dr [Executive Pack],MANUAL,N-CONNECTA,MEDIUM,HATCHBACK,PETROL,TURBO,1.3,FRONT WHEEL DRIVE
45623,MICROCAR,M-GO,M-GO HATCHBACK,SE 4 Seat 3dr Auto,AUTOMATIC,SE,SMALL,HATCHBACK,PETROL,INJECTION,0.5,FRONT WHEEL DRIVE
83017,INFINITI,Q30,Q30 DIESEL HATCHBACK,2.2d Luxe Tech 5dr DCT [AWD],AUTOMATIC,LUXE TECH,PRESTIGE LOWER,HATCHBACK,DIESEL,TURBO,2.1,FOUR WHEEL DRIVE
87635,NISSAN,MICRA,MICRA HATCHBACK,1.0 IG-T 100 N-Connecta 5dr [Vision+/Bose],MANUAL,N-CONNECTA,SUPERMINI,HATCHBACK,PETROL,TURBO,1.0,FRONT WHEEL DRIVE
86798,MINI,HATCHBACK,HATCHBACK,1.5 One Classic II 5dr Auto [Nav Pack],AUTOMATIC,ONE CLASSIC,SUPERMINI,HATCHBACK,PETROL,TURBO,1.5,FRONT WHEEL DRIVE
86574,AUDI,Q3,Q3 ESTATE,35 TFSI Sport 5dr,MANUAL,SPORT,4X4 SMALL,ESTATE,PETROL,TURBO,1.5,FRONT WHEEL DRIVE
91052,VOLKSWAGEN,PASSAT,PASSAT DIESEL ESTATE,2.0 TDI EVO SE Nav 5dr,MANUAL,SE NAV,ESTATE LARGE,ESTATE,DIESEL,TURBO,2.0,FRONT WHEEL DRIVE
88601,JAGUAR,XE,XE SALOON,2.0 HSE 4dr Auto,AUTOMATIC,HSE,PRESTIGE MEDIUM,SALOON,PETROL,TURBO,2.0,REAR WHEEL DRIVE
